train_number,train_name,source,destination,running_days
22110,BPQ LTT EXPRESS,BALHARSHAH,LOKMANYATILAK T,10000
22109,LTT BPQ EXPRESS,LOKMANYATILAK T,BALHARSHAH,100000
22114,KCVL LTT SF EXP,TRIVANDRUM NORTH,LOKMANYATILAK T,1001000
22113,LTT KCVL EXPRESS,LOKMANYATILAK T,TRIVANDRUM NORTH,100010
22116,KRMI LTT AC EXP,KARMALI,LOKMANYATILAK T,1000
22115,LTT KRMI AC SUP,LOKMANYATILAK T,KARMALI,1000
22118,AMI PUNE  SF EXP,AMRAVATI,PUNE JN,1000
22117,PUNE AMI AC SF,PUNE JN,AMRAVATI,10000
22122,LKO LTT AC EXP,LUCKNOW NR,LOKMANYATILAK T,1
22123,PUNE AJNI AC EXP,PUNE JN,AJNI,100
22121,LKO AC SUP EXP,LOKMANYATILAK T,LUCKNOW NR,10
22125,NGP ASR AC EXP,NAGPUR,AMRITSAR JN,10
22126,ASR NGP AC EXP,AMRITSAR JN,NAGPUR,1000000
22124,AJNI PUNE AC EXP,AJNI,PUNE JN,100000
22127,ANANDWAN EXPRESS,LOKMANYATILAK T,KAZIPET JN,1000000
22129,TULSI EXPRESS,LOKMANYATILAK T,AYODHYA CANT,100001
22130,TULSI EXPRESS,AYODHYA CANT,LOKMANYATILAK T,1010000
22128,ANANDWAN EXP,KAZIPET JN,LOKMANYATILAK T,100000
22133,SUR KOP SF EXP,SOLAPUR JN,C SHAHUMHARAJ T,1111111
22131,GYAN GANGA EXP,PUNE JN,BANARAS,1000000
22132,GYAN GANGA SF,BANARAS,PUNE JN,10000
22134,KOP SUR SF EXP,C SHAHUMHARAJ T,SOLAPUR JN,1111111
22135,MYS RU EXP,MYSORE JN,RENIGUNTA JN,100
22136,RU MYS SF EXP,RENIGUNTA JN,MYSORE JN,10
22137,PRERANA EXPRESS,NAGPUR,AHMEDABAD JN,10011
22144,BIDR CSMT EXP,BIDAR,C SHIVAJI TERM MUMBAI,1011
22145,BPL REWA SF EXP,BHOPAL JN,REWA,101
22143,CSMT BIDAR EXP,C SHIVAJI TERM MUMBAI,BIDAR,10110
22138,PRERANA EXPRESS,AHMEDABAD JN,NAGPUR,1001001
22146,REWA BPL SF EXP,REWA,BHOPAL JN,1000010
22150,PUNE ERS SUP EXP,PUNE JN,ERNAKULAM JN,10001
22147,DR SNSI SF EXP,DADAR,SAINAGAR SHIRDI,100
22148,SNSI DR SF EXP,SAINAGAR SHIRDI,DADAR,10
22152,KZJ PUNE SF EXP,KAZIPET JN,PUNE JN,1
22153,MS SALEM EXP,CHENNAI EGMORE,SALEM JN,1111111
22154,SA CHENNAI EXP,SALEM JN,CHENNAI EGMORE,1111111
22151,PA KAZIPET SF EX,PUNE JN,KAZIPET JN,100
22149,ERS PUNE EXPRESS,ERNAKULAM JN,PUNE JN,100100
22156,KOP KLBG SUP EXP,C SHAHUMHARAJ T,KALABURAGI JN,1111111
22155,KLBG KOP SUP EXP,KALABURAGI JN,C SHAHUMHARAJ T,1111111
22157,CHENNAI MAIL,C SHIVAJI TERM MUMBAI,CHENNAI EGMORE,1111111
22159,CSMT CHENNAI EX,C SHIVAJI TERM MUMBAI,CHENNAI CENTRAL,1111111
22158,MUMBAI MAIL,CHENNAI EGMORE,C SHIVAJI TERM MUMBAI,1111111
22160,MUMBAI EXPRESS,CHENNAI CENTRAL,C SHIVAJI TERM MUMBAI,1111111
22161,RAJYA RANI EXP,BHOPAL JN,DAMOH,1111111
22163,MAHAMANA EXPRESS,BHOPAL JN,KHAJURAHO,1111111
22162,RAJYA RANI EXP,DAMOH,BHOPAL JN,1111111
